system   D            wsystem.c:583  maybe_parent_dir                 [   0.00037] Also searching F:\Programmeren\C++\SlimeVolley\
display  D   display_settings.c:506  _al_score_display_settings       [   0.02369] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02370] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02371] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02372] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02373] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02374] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02374] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02375] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02376] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02377] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02378] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02378] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02379] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02380] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02381] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02381] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02382] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02383] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02384] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02385] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02386] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02387] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02388] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02389] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02393] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02394] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02396] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02397] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02398] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02399] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02400] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02401] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02403] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02435] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02464] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02465] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02467] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02468] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02469] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02518] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02519] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02520] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02521] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02521] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02522] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02523] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02524] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02524] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02525] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02526] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02527] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02527] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02528] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02529] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02530] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02530] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02531] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02532] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02533] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02534] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02535] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02535] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02536] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02537] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02538] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02538] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02539] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02540] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02541] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02541] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02542] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02543] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02544] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02544] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02545] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02546] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02547] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02548] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02548] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02549] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02550] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02551] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02552] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02553] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02554] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02554] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02555] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02556] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02557] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02558] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02559] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02559] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02560] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02561] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02562] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02563] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02564] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02565] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02566] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1645 d3d_create_display_internals     [   0.02568] Trying format 0.
d3d      I         d3d_disp.cpp:1326 d3d_display_thread_proc          [   0.02622] Chose a display format: 23
d3d      I         d3d_disp.cpp:1395 d3d_display_thread_proc          [   0.02625] Normal window.
d3d      I         d3d_disp.cpp:801  d3d_create_device                [   0.03791] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:866  d3d_create_device                [   0.04706] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:874  d3d_create_device                [   0.04709] Success
d3d      D         d3d_disp.cpp:1668 d3d_create_display_internals     [   0.04710] Resumed after wait.
d3d      I         d3d_disp.cpp:1701 d3d_create_display_internals     [   0.04713] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1724 d3d_create_display_internals     [   0.04714] Returning d3d_display: 00BC5AE0
d3d      D         d3d_disp.cpp:1749 d3d_create_display_locked        [   0.04715] al_display=00BC5AE0
d3d      D         d3d_disp.cpp:1750 d3d_create_display_locked        [   0.04716] al_display->vt=00B8C8D8
dtor     D               dtor.c:184  _al_register_destructor          [   0.04944] added dtor for object 07385200, func 0F0A27A7
bitmap   W          bitmap_io.c:222  al_load_bitmap                   [   0.04964] Failed loading ./assets/images/none.png with .png handler.
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.05135] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.05137] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.05138] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.05138] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.05139] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.05139] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.05140] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.05141] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.05141] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.05142] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.05143] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.05144] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.05145] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.05156] added dtor for object 00C7EC10, func 0F0A2590
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.05208] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.05210] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.05267] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.05269] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.05269] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.05270] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.05271] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.05271] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.05272] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.05272] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.05273] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.05274] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.05274] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.05275] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.05276] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.05314] added dtor for object 00C7E5C8, func 0F0A2590
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.05574] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.05576] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.06289] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.06291] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.06292] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.06293] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.06294] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.06295] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.06296] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.06297] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.06298] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.06299] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.06300] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.06301] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.06302] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.06345] added dtor for object 00C7E918, func 0F0A2590
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.06672] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.06675] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.07596] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.07598] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.07600] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.07601] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.07602] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.07603] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.07604] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.07605] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.07606] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.07607] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.07608] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.07609] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.07610] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.07656] added dtor for object 073932B0, func 0F0A2590
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.08133] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.08136] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08803] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08804] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08805] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08806] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08806] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08807] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08808] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08808] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08809] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.08809] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.08810] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.08811] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.08812] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.08821] added dtor for object 07392B60, func 0F0A2590
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.08848] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.08849] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08904] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08905] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08906] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08906] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08907] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08907] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08908] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08909] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08909] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.08910] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.08911] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.08912] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.08913] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.08919] added dtor for object 07392F80, func 0F0A2590
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.08932] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.08933] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08972] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08973] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08974] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08974] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08975] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08976] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08976] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08977] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08977] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.08978] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.08979] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.08979] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.08980] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.08987] added dtor for object 07393080, func 0F0A2590
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.09000] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.09001] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09045] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09046] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09046] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09047] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09048] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09048] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09049] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09050] Fake format
